date,product,region,amount,quantity
2023-02-22,Microphone,North,1365.41,23
2023-12-25,External Drive,West,315.17,11
2024-07-15,Power Supply,Central,911.72,1
2023-01-31,Mouse,East,1475.66,40
2023-06-26,Headphones,East,1177.24,40
2024-12-01,Graphics Card,East,1273.23,8
2023-01-15,External Drive,Central,793.69,18
2024-09-29,USB Cable,North,243.69,36
2023-10-26,Webcam,South,1095.4,41
2023-02-19,Mouse,North,949.27,5
2023-11-14,Webcam,West,1633.48,25
2023-09-15,Processor,South,948.42,30
2023-09-11,USB Cable,North,1050.63,46
2023-04-09,SSD,North,227.23,3
2024-02-23,Cooling Fan,North,677.51,18
2024-03-02,Processor,West,35.39,14
2023-03-10,Chair,Central,1963.85,30
2024-01-30,Headphones,Central,1751.05,6
2023-12-02,Headphones,West,824.44,8
2023-10-25,Chair,West,761.76,49
2023-10-22,Desk,East,600.35,46
2023-11-25,Speaker,East,1104.5,4
2023-09-23,Laptop,West,1458.34,43
2023-11-07,External Drive,North,1883.23,49
2023-05-04,Keyboard,North,1109.93,42
2024-01-31,Cooling Fan,South,962.48,16
2024-11-08,SSD,East,1527.35,39
2023-12-18,Motherboard,South,1654.14,6
2023-12-27,Chair,South,82.22,38
2024-09-27,Monitor,West,506.75,2
2023-09-02,Desk,Central,1815.48,15
2024-02-14,Desk,East,294.18,10
2024-10-20,Graphics Card,East,915.02,30
2023-03-22,SSD,East,1216.31,22
2024-01-06,Cooling Fan,North,326.24,20
2024-05-06,Graphics Card,West,334.77,3
2023-02-17,Microphone,West,615.76,43
2023-05-23,Headphones,Central,1607.27,31
2023-08-06,Monitor,East,511.03,22
2023-03-10,Chair,South,1554.75,28
2024-02-03,Power Supply,North,543.28,15
2023-09-02,Chair,South,1307.1,37
2023-01-17,Mouse,West,1483.61,33
2023-03-25,Microphone,South,1692.32,25
2024-06-05,Laptop,East,367.7,44
2023-03-22,Monitor,South,1043.37,46
2024-08-31,Case,Central,363.2,47
2024-05-08,USB Cable,South,1140.47,27
2023-06-25,Speaker,Central,371.86,16
2023-02-10,Processor,East,1056.7,39
2023-03-31,Microphone,North,1445.13,3
2024-06-15,Laptop,West,343.73,36
2024-10-07,USB Cable,East,1769.04,30
2024-04-22,Monitor,East,1557.73,50
2024-12-31,External Drive,South,1853.59,37
2023-06-03,Laptop,East,1019.89,5
2023-04-19,USB Cable,North,1998.49,25
2024-06-16,Webcam,North,247.29,25
2023-10-03,Case,South,286.9,46
2024-02-09,Cooling Fan,East,864.71,45
2023-10-12,Cooling Fan,West,218.24,28
2024-04-25,USB Cable,West,1251.22,26
2023-07-08,Keyboard,South,1604.38,10
2023-03-03,SSD,North,543.26,27
2024-04-23,Microphone,West,678.59,31
2024-04-20,USB Cable,East,1743.69,36
2023-06-02,Power Supply,South,1739.07,45
2023-08-12,Laptop,Central,1857.77,39
2023-05-23,Mouse,North,207.76,33
2024-11-30,Laptop,East,1151.82,33
2024-03-18,Speaker,North,258.4,30
2024-11-01,Monitor,Central,281.23,24
2024-03-24,Webcam,Central,348.64,3
2023-03-12,Cooling Fan,Central,1234.69,44
2023-01-17,Webcam,Central,36.99,32
2024-06-10,Motherboard,South,282.39,47
2023-08-30,Microphone,West,653.91,19
2023-05-12,Keyboard,West,1674.24,8
2024-09-15,Graphics Card,North,120.5,2
2024-06-27,Monitor,South,1034.32,18
2024-05-10,Mouse,North,409.06,33
2023-08-13,Processor,Central,1181.48,7
2024-08-05,Laptop,West,878.46,17
2024-08-22,Motherboard,South,1130.35,2
2023-08-09,Graphics Card,West,852.64,35
2024-12-13,USB Cable,East,1924.19,35
2024-02-03,RAM,North,493.01,21
2024-09-18,Headphones,South,968.0,41
2024-08-15,Processor,Central,1405.76,9
2024-04-26,Headphones,North,1079.15,10
2023-04-05,Graphics Card,Central,1137.82,11
2023-07-16,Graphics Card,South,99.2,4
2023-10-20,Headphones,South,768.86,35
2023-10-15,Chair,West,586.42,43
2024-07-11,Power Supply,North,348.08,33
2023-06-27,Keyboard,South,888.95,28
2024-09-24,Processor,West,971.41,12
2023-11-14,Laptop,South,1314.68,27
2023-08-30,Case,West,977.6,40
2024-12-26,Cooling Fan,East,1728.21,4
2023-07-14,RAM,West,476.79,1
2023-06-03,Laptop,North,341.59,35
2024-04-12,Chair,North,1844.55,12
2024-01-25,Laptop,East,1695.73,39
2024-10-03,Speaker,East,492.13,37
2023-07-27,Mouse,North,524.92,28
2024-09-09,Speaker,East,1595.48,13
2024-05-01,USB Cable,North,475.5,49
2023-01-04,Power Supply,North,445.0,14
2024-02-25,Case,East,1268.18,31
2024-01-03,Mouse,South,265.45,35
2024-12-22,Monitor,North,1294.73,45
2024-12-14,Webcam,North,1101.73,36
2024-05-31,USB Cable,South,767.89,25
2023-10-25,Speaker,West,889.64,5
2023-03-22,Headphones,North,383.78,40
2024-07-08,Keyboard,South,485.0,24
2024-05-10,Webcam,Central,1830.21,23
2024-07-05,Speaker,North,836.88,44
2023-12-26,Processor,North,1973.99,4
2023-01-06,Case,Central,788.99,33
2024-02-23,Monitor,North,402.25,7
2024-01-05,Power Supply,Central,1172.95,32
2023-05-05,Power Supply,South,645.07,40
2023-03-13,RAM,South,1966.95,5
2023-02-03,Motherboard,North,1227.38,22
2023-03-12,External Drive,Central,1828.07,34
2023-06-29,Graphics Card,South,656.97,26
2023-04-12,Motherboard,North,665.22,2
2024-04-08,Motherboard,North,452.27,43
2024-08-06,USB Cable,West,386.24,48
2023-04-08,Cooling Fan,North,63.87,10
2024-06-04,Microphone,West,81.36,49
2024-11-06,Mouse,West,516.02,40
2024-12-13,Headphones,North,1368.07,16
2023-11-26,Keyboard,North,275.66,39
2024-10-09,Webcam,South,634.45,33
2023-06-25,Power Supply,North,835.6,22
2024-08-19,Desk,South,1617.48,33
2024-06-22,Graphics Card,South,1699.7,49
2023-04-06,Case,North,524.2,45
2024-12-21,Power Supply,West,35.72,28
2024-06-05,Headphones,Central,1041.74,27
2024-01-01,Microphone,Central,1125.25,9
2024-02-17,USB Cable,West,1020.74,40
2024-11-16,Monitor,Central,1186.95,31
2024-08-19,Speaker,Central,1832.13,36
2024-11-29,Processor,North,1977.41,32
2024-04-22,Power Supply,Central,1604.43,15
2024-04-16,Keyboard,North,973.5,3
2024-11-16,Keyboard,West,128.47,44
2023-11-24,Case,South,544.71,35
2024-04-10,Case,Central,1207.05,13
2023-09-05,Motherboard,South,1998.31,10
2024-02-13,Keyboard,South,1067.48,16
2024-09-16,RAM,South,1657.47,35
2024-05-16,Microphone,South,1135.68,3
2023-10-23,Keyboard,Central,251.29,48
2024-09-28,Monitor,West,1437.33,30
2023-07-03,Desk,South,848.28,22
2023-04-19,External Drive,North,1538.17,12
2024-01-17,External Drive,South,112.53,13
2023-10-06,Headphones,West,1420.82,26
2023-07-07,Microphone,Central,1145.09,20
2024-03-07,External Drive,North,1617.33,24
2024-03-27,Keyboard,Central,1905.32,32
2023-10-20,Keyboard,North,80.08,3
2023-12-20,External Drive,North,1387.0,5
2024-08-15,External Drive,South,1726.38,38
2023-02-23,External Drive,Central,1740.44,32
2024-04-10,Desk,East,1588.94,39
2023-03-11,Motherboard,East,679.74,15
2023-10-06,Graphics Card,East,1139.11,6
2023-06-26,Keyboard,South,1251.01,35
2024-06-10,Chair,East,139.27,4
2023-10-24,SSD,East,1298.32,32
2023-07-31,Microphone,North,1067.52,38
2024-02-17,USB Cable,South,780.79,23
2024-10-07,Laptop,South,1921.77,6
2024-12-04,Speaker,Central,1246.64,18
2023-08-07,SSD,South,620.58,27
2023-06-27,Monitor,West,812.07,23
2024-11-16,Motherboard,Central,407.93,5
2024-01-17,USB Cable,East,202.4,44
2024-04-25,RAM,Central,355.02,18
2024-05-18,Processor,South,1344.86,20
2023-07-12,USB Cable,West,1284.71,21
2023-08-09,Chair,South,25.62,13
2024-05-14,Speaker,West,1634.46,50
2023-09-10,Graphics Card,North,1823.98,5
2023-11-06,Power Supply,West,1783.02,21
2024-08-12,Headphones,West,1608.01,6
2024-06-04,Laptop,South,901.64,28
2024-02-07,Speaker,North,1546.86,46
2023-09-22,Power Supply,South,18.92,35
2024-06-13,Mouse,North,12.31,29
2023-07-08,Cooling Fan,South,652.3,46
2023-09-15,USB Cable,West,1548.47,2
2023-02-05,Processor,South,1178.2,18
2024-03-27,Keyboard,East,930.03,19
2023-06-16,Processor,East,397.2,38
2024-05-29,SSD,East,558.91,16
2024-09-07,Monitor,South,1305.09,19
2024-11-24,Processor,West,285.98,50
2024-11-18,Mouse,Central,101.65,34
2023-08-06,Microphone,North,81.32,44
2023-03-28,RAM,North,464.78,45
2023-06-08,Monitor,West,1372.0,1
2023-02-21,Motherboard,North,1956.24,2
2024-06-17,Desk,North,1407.82,15
2024-02-28,SSD,North,1500.77,49
2023-08-02,Monitor,Central,1439.18,17
2023-01-11,Processor,North,345.77,35
2024-06-20,Laptop,North,1103.74,6
2023-07-20,Headphones,South,862.08,33
2023-08-15,Headphones,Central,789.47,43
2023-07-18,Power Supply,East,463.46,26
2024-09-02,Laptop,North,1223.83,23
2023-01-04,Mouse,West,1214.09,5
2023-12-18,Processor,East,974.41,7
2023-08-17,Chair,East,1555.0,22
2024-10-21,SSD,South,1796.9,11
2024-08-09,Motherboard,West,1926.54,9
2023-06-01,RAM,South,1748.88,41
2023-05-21,External Drive,West,1968.18,31
2024-04-24,Motherboard,West,658.39,14
2024-09-03,Webcam,East,1042.3,16
2024-08-22,SSD,South,1078.73,26
2023-01-02,Power Supply,East,1899.59,6
2024-04-11,Power Supply,South,26.7,1
2023-02-06,Microphone,Central,97.51,32
2024-12-25,Laptop,South,1871.97,23
2023-11-23,Speaker,East,540.12,6
2024-11-16,Graphics Card,East,597.67,8
2023-06-24,Headphones,Central,1202.84,46
2023-04-23,Keyboard,South,750.84,1
2024-10-03,SSD,South,859.93,34
2024-05-28,Chair,East,419.05,21
2023-03-08,Chair,West,1799.33,4
2023-10-31,Power Supply,South,1503.11,27
2024-09-14,Speaker,Central,1198.94,10
2024-10-02,Graphics Card,East,882.34,34
2024-04-09,Headphones,West,1193.79,46
2023-04-20,Headphones,East,1910.18,31
2023-11-22,Processor,North,578.61,30
2024-10-26,Mouse,South,262.9,29
2024-08-23,RAM,East,569.12,10
2024-07-15,Laptop,South,577.67,43
2023-08-22,External Drive,East,216.89,4
2023-11-20,Headphones,East,864.07,13
2023-08-04,Webcam,Central,1949.76,11
2023-10-25,Cooling Fan,East,1763.2,43
2023-02-03,Laptop,North,707.08,34
2023-06-08,External Drive,South,1486.76,9
2023-09-03,Processor,East,1471.7,26
2023-02-20,Graphics Card,East,261.7,16
2023-04-06,Mouse,North,935.11,15
2024-05-06,Graphics Card,West,302.88,11
2023-08-13,Cooling Fan,Central,18.08,1
2023-12-23,Speaker,East,888.03,3
2023-12-27,Keyboard,East,747.85,22
2024-06-12,External Drive,North,1244.65,6
2023-02-04,Mouse,South,892.23,50
2023-10-08,USB Cable,West,1635.5,24
2024-06-05,Chair,North,1228.02,4
2023-10-10,Processor,Central,1465.47,42
2023-12-01,Webcam,East,436.08,27
2024-08-08,Motherboard,Central,1773.99,47
2024-02-01,USB Cable,Central,613.17,15
2023-09-04,Power Supply,North,72.09,17
2024-02-21,Headphones,Central,1071.79,45
2023-09-10,Power Supply,West,321.27,10
2023-09-22,Graphics Card,East,1751.68,34
2024-05-09,Speaker,East,956.68,9
2023-07-16,Cooling Fan,West,1053.74,14
2024-12-15,Monitor,East,885.4,5
2024-05-22,Keyboard,Central,184.23,20
2023-08-17,Speaker,East,898.46,28
2024-03-24,Mouse,East,334.55,19
2024-11-19,Headphones,South,193.58,35
2023-08-09,USB Cable,West,1094.14,37
2024-03-07,Desk,South,1124.2,31
2024-01-10,Power Supply,South,1546.86,10
2023-06-20,Mouse,East,887.07,8
2023-10-20,Cooling Fan,Central,1958.56,2
2024-12-09,Monitor,East,1106.22,37
2023-09-28,Chair,North,1437.05,25
2024-01-05,Speaker,West,256.08,44
2024-05-17,Monitor,West,1549.77,13
2024-09-09,Chair,North,492.59,16
2023-11-13,Power Supply,North,1974.51,47
2023-11-30,External Drive,North,583.82,42
2023-03-24,Headphones,Central,1979.06,36
2024-11-06,Speaker,West,1732.02,30
2024-04-21,Processor,North,1755.09,45
2023-12-30,USB Cable,North,1939.89,29
2023-09-25,Chair,West,1392.0,44
2024-12-09,Cooling Fan,North,1004.8,29
2023-06-26,Microphone,West,136.25,16
2024-12-07,Chair,East,1617.63,7
2023-01-02,Power Supply,Central,146.21,47
2024-01-22,Headphones,South,838.69,35
